year,state,state_abbr,dem_vote,rep_vote,total_vote,dem_percent,rep_percent
2008,new-mexico,nm,472422,346832,819254,0.5766,0.4234
2008,new-york,ny,4645332,2418323,7063655,0.6576,0.3424
2008,north-carolina,nc,2142651,2128474,4271125,0.5017,0.4983
2008,north-dakota,nd,141278,168601,309879,0.4559,0.5441
2008,ohio,oh,2940044,2677820,5617864,0.5233,0.4767
2008,oklahoma,ok,502496,960165,1462661,0.3435,0.6565
2008,oregon,or,1037291,738475,1775766,0.5841,0.4159
2008,pennsylvania,pa,3276363,2655885,5932248,0.5523,0.4477
2008,rhode-island,ri,296571,165391,461962,0.642,0.358
2008,south-carolina,sc,862449,1034896,1897345,0.4546,0.5454
2008,south-dakota,sd,170924,203054,373978,0.457,0.543
2008,tennessee,tn,1087437,1479178,2566615,0.4237,0.5763
2008,texas,tx,3528633,4479328,8007961,0.4406,0.5594
2008,utah,ut,327670,596030,923700,0.3547,0.6453
